description	level_1
平面母乳冷凍袋120ml/50入贈濕巾	嬰幼兒與孕婦
療黴舒乳膏15G	其他消費
昇洋精品系圓規組	生活百貨
【Gigastone 立達國際】Headphone H1耳罩式無線藍牙耳機(2合1支援有線及無線模式/支援iPhone12)	3C電子/配件
休足時間清涼舒緩貼片6入	美容沐浴
如沛青春配方	寵物
澎澎MAN洗髮沐浴露-控油酷涼	美容沐浴
心機眉粉EX粉芯GY921	美容沐浴
MW便利貼 可立式動物屁屁系列 貓咪55539	生活百貨
Amy Carol民族風系列逗貓棒-蜻蜓	寵物
SHARP夏普18L 衣物乾燥 自動除菌離子除濕機 DW-J18T-N	其他消費
代收-TUNEMAKERS 原液保濕美容液30ML	美容沐浴
葡萄柚鮮果綠	餐飲消費
AGF MA咖啡罐白-摩卡[80g]	飲料沖泡
20339@全麥吐司/條(A)	生鮮冷藏
十翼饌上等台灣官田黑木耳	食品雜貨
【德國EMSA】頂級真空保溫壺 巧手壺系列BASIC (保固5年) 1.5L 率性藍	生活百貨
ARGELAN 草本保濕植萃調理噴霧化妝水 補充包 160ml	美容沐浴
裝置費	交通
紅點梅6麵井	零食點心
108奈丸	其他消費
新樂園五號香菸	菸/酒
TicWatch Pro 2020 SmartWatch 旗艦級智慧手錶-黑色	3C電子/配件
恐龍鉗18g(附糖)12支/盒	戶外休閒
良品 四下 翰林 數學 測驗卷	書籍
【PUSH!】廚房用品多功能切壓丁切條濾蛋清馬鈴薯絲手壓切菜器(D191)	鍋具.廚具.濾水
A.即食牛肝菌螺旋麵	泡麵罐頭
代收代付 - 黏貼插頭 免釘 掛鉤 創意 廚房 電源線 掛架收納 支架 插座【RS581】	其他消費
喜力昂錠100MG	食品雜貨
玉米穀物排	零食點心
Textile kitchen	戶外休閒
無籽小黃草橄欖 300g 臻御行	泡麵罐頭
寶齡妥膚定乳膏22G	美容沐浴
DR.WU 玻尿酸保濕水凝露30ml 可集點	美容沐浴
東興冰塊 600g 2021-06-26 f6oe-vgqs	其他消費
翡翠炒飯	餐飲消費
慶陽平口冰棒棍8.5cm	鍋具.廚具.濾水
日式鐵刨刷50g	鍋具.廚具.濾水
蛋餅-玉米	餐飲消費
向台花蓮香米	食品雜貨
綠茶紅豆冰淇淋	冷凍食品
簡約黏貼式牙刷牙膏架	嬰幼兒與孕婦
女平口褲 1705-XL 甜心粉	服飾與配件精品
白毫玫瑰保溼身體乳	美容沐浴
套餐-勁辣鷄腿堡 Spicy Chicken Filet Burger Meal 2021-06-07 k0nl-ydmg	餐飲消費
台灣現貨+免運費酒精噴霧筆 防疫筆 噴霧中性筆 原子筆 可添加酒精 噴霧瓶 酒精噴霧 原子筆	其他消費
中 高纖印泥 20g	生活百貨
冰烏龍奶茶	飲料沖泡
特級文旦柚	食品雜貨
【售完不補】韓版萌萌寬鬆愛心冰絲針織上衣 短袖上衣 短袖t恤 女裝 顯瘦上衣 衣服 寬鬆上衣 素T【T253】	服飾與配件精品
五分自動止水閥接頭	戶外休閒
狐狸花盆- c. 青藍色-黃紋路	戶外休閒
家電	生活百貨
【統一】預倍葉黃素+DHA藻油 60粒膠囊*3罐	食品雜貨
草莓蛋白糖	零食點心
"""3M""細滑牙線棒(36+4支)"	美容沐浴
化物語（11）首刷限定版（拆封不退）(免稅)	美容沐浴
和風烤嫩雞 2021-09-01 k8qk-lhyc	食品雜貨
雙  享	餐飲消費
SOFT 99 超級免雨刷玻璃精 6倍耐久+ SOFT 99 油膜連根拔除清潔劑 (乳狀) 組合價$460	交通
【逛逛市集】黑鋼不銹鋼刀具5套組(廚房 刀具 黑刀 套裝刀組)	其他消費
愛肯拿1.8kg室內開胃貓 雞肉+鯡魚+蔓越莓	寵物
1-611F 裝飾素材---30 高彈力毛球(白) 12入	其他消費
紅寶歐蕾(中)	飲料沖泡
格蘭多納10年福格谷單一純麥威士忌1000ml	菸/酒
G-a3_奶粉袋	嬰幼兒與孕婦
鮮奶210ml	餐飲消費
(W店)迷你Mini炸雞塊	餐飲消費
OZIO蜂王乳QQ潤白凝	美容沐浴
白蘭 4X酵素極淨超濃縮洗衣精除菌除螨補充包1.5KG_6入/箱	居家清潔
里山青茶	餐飲消費
熱銷特賣直播拍照海棉三角架 自拍桿 自拍棒 相機架 八爪架 攝影器材 手機支架 海棉支架 拍照【葉子小舖】	3C電子/配件
卡勒富金蔥粉(綠)	生活百貨
哈根達斯巧克榛果雪糕	冷凍食品
五木蕎麥麵320g	食品雜貨
孩子王 手提聲光醫具組 藍-粉	戶外休閒
50744023 牛仔雙口袋襯衫-男 (深藍 - L)	服飾與配件精品
花田喜彘白豬-小里肌	其他消費
套餐熱帶芒果冰沙	餐飲消費
必勝客薯金幣獨享餐即享券	其他消費
RAGKORN plant pot 24 in/outdoor natural AP	其他消費
20cc噴瓶	美容沐浴
12提花少女襪	服飾與配件精品
AIMER FEEL||飾品、配件雜貨類	季節飾品
小狗汪汪	戶外休閒
利百代中印台(藍)	生活百貨
高品質飼料3合1(小粒)500g	寵物
綜合菌菇	生鮮冷藏
不鏽鋼門背門後掛鉤	傢俱寢飾
吉利T 蒟蒻果凍粉 200g	零食點心
402150@K036強固型掀蓋整理箱638*42	居家傢俱
全網布鐵腳PU輪辦公椅/電腦椅(3色)	居家傢俱
軟膠邊刷	交通
CS衣舖 輕薄透氣大側袋工作褲-黑色-L (30腰)	服飾與配件精品
咪歐蒸蛋鮪魚貓罐	寵物
小綠人小蘇打(柑橘)洗衣精補充包2000ML(箱/8)	居家清潔
「台灣現貨」嬰幼童百搭經典打底衫 中小童女寶寶長袖襯衫白色娃娃衫翻领打底衣 花童禮服打底衫公主裙內搭衫 小洋裝內搭上衣	嬰幼兒與孕婦
黑胡椒老茶紅茶豆干	零食點心
上龍 蒸架(大)24cm	鍋具.廚具.濾水
E003429	生活百貨
14001332006【Jilli~ko】棉麻感素色後寬鬆上衣 J8237　 FREE 卡其色	服飾與配件精品
9789869678032咖啡杯測的科學：從生豆購買、烘焙調校，到萃取曲線，追求頂極咖啡必學	書籍
160CM 鱷魚先生抱枕 男朋友抱枕 絨毛娃娃 靠枕 聖誕禮物	傢俱寢飾
生鮮冷凍品一批(2297845)	其他消費
官方帳號（推廣方案：高用量）	生活百貨
〔冰〕橘皮香甜酒拿鐵	餐飲消費
【單點】夏威夷大比薩 2021-05-13 z9fe-h0ud	餐飲消費
咖哩烤雞腿飯	餐飲消費
蜜香橘紅	餐飲消費
好神奇亞籽Ｑ凍　　　　　　　	零食點心
埔里醇泉堅持竹炭水600ml	飲料沖泡
統一麥香紅茶 300ml*6 2021-09-10 f6lu-wocv	飲料沖泡
設計你的幸福人生： 從家庭到消費，看準社會五大趨勢，畫出你的未來藍圖	書籍
台灣能量豬後腿肉	食品雜貨
水晶葉子 浴室肥皂瀝水器 廚房海綿瀝水器 菜瓜布瀝水器 肥皂架 瀝水架	鍋具.廚具.濾水
13245-131-083-11- 卡通女童T恤	嬰幼兒與孕婦
澎湖-特產手剝金鉤蝦米80g(加價購)	其他消費
0P69執米不悔天然微晶煥膚霜	食品雜貨
自然小貓 無膠肉湯罐 五種口味 24入  貓罐頭   現貨 蝦皮直送	寵物
絲圈防水防滑地墊 可裁剪 去汙檔泥 廚房地墊 浴室地墊 家飾 佈置 地毯 地墊 踏墊 腳踏墊 ins【E064】	傢俱寢飾
包大人褲型-活力隱形褲-XL14片(箱*4)	居家清潔
Canadian Club 加拿大會所(G)	其他消費
650晶碩彩色日拋樂森林系列10片裝優雅鸚鵡-灰	其他消費
半年份濾心/台製高效	大型家電/視聽影音
聯華可樂果－原味	零食點心
小四愛作怪6：三國亂傳（二版）	書籍
廚房配件三件組	其他消費
foodpanda C餐 2021-06-20 b358-8hpt	餐飲消費
(小賈車庫) 1/64 AD 金屬製造人偶 滑雪人偶 場景用 戶外運動	戶外休閒
僑德貼紙	生活百貨
4D空氣纖維枕	傢俱寢飾
清淨之森．交叉美臀低腰三角內褲	服飾與配件精品
美式咖啡(續杯)	餐飲消費
▌台灣豬軟骨 200g ▌ 2021-07-04 u4dx-j8qf	其他消費
林克博士主食貓罐200G-幼貓(火雞肉+貓薄荷)	寵物
大雞魯飯 2021-05-06 y4lh-pwjx	餐飲消費
故事骰冒險篇 綠 Rory’s Story Cubes Voyages	戶外休閒
開陽白菜(中)	生鮮冷藏
味味一品牛肉袋3入	泡麵罐頭
翡翠檸檬.XL	飲料沖泡
175愛神之語日拋隱形眼鏡10片裝愛蜜淺棕_Aimer Brown	美容沐浴
觀察的練習：捕獲設計靈感，發見隱藏創意	書籍
@法國人 現貨 SAUGELLA賽吉兒 菁萃潔浴凝露日用型500ml  平日出貨	美容沐浴
【BWT 德國倍世】2.7L鎂離子 白 濾水壺+5入長效濾芯(Penguin)	鍋具.廚具.濾水
獺祭(一瓶)	其他消費
出租租金 中港大樓1100901~1100930P2022F210300275-1洪夢薇(專招長鴻)	戶外休閒
771000040993 黑橋牌-滿意堡－J.S.V.煙燻德國$70(代收)	零食點心
柚見四季	餐飲消費
曼秀抗痘洗面乳100g-美白	美容沐浴
巧巧通便器(薄)	鍋具.廚具.濾水
夏爾利-彩虹菜瓜布10入-菜瓜布	居家清潔
ＥＭＯ飄香定量罐－晨霧清新３００ｍｌ	居家清潔
五星主廚秘滷豬腳增福添壽組-勁	其他消費
【NEW FORCE】任選-柔美綁帶純棉細肩連身裙-4色可選(大尺碼/居家服/睡衣/家居服/睡裙)	服飾與配件精品
【特力屋】K-025 強固型掀蓋整理箱	居家傢俱
Paldo御膳火麵120g*5	泡麵罐頭
飯友辣椒醬-大	食品雜貨
UNIQMAN 精胺酸(6袋組)(30顆/袋)	食品雜貨
[CIAO] 多樂米特濃湯罐80克【(鮪魚+雞肉+干貝)】(1入)(貓副食罐頭)	寵物
650-艾蕾珀38月拋彩片2入-午後綠野	美容沐浴
炭烤經典極嫩牛舌超載丼飯	其他消費
04.梅花豬	餐飲消費
百威啤酒330g*6 /4p	菸/酒
6吋布輪	生活百貨
酒釀雜糧	菸/酒
法式蛋吐司	生鮮冷藏
【台灣倍思】MVP王者彎頭一拖三數據線 USB For Micro+Iphone+Type-C3.5A 藍色	3C電子/配件
冷光五風扇筆電散熱墊	小家電專區
44130032 磨毛柔棉V領長袖T恤-男 (白色 - M)	服飾與配件精品
究極之四季春	其他消費
iq+貓咪樂泥棒14g	寵物
30天考前衝刺！新制多益聽力攻略+詳解：專為久未接觸英文、多益新手考生設計，戰勝心魔！一舉突破650分！（雙書裝+1 MP3+免費單字本下載）	書籍
第42標 柚香薑原沐浴乳	美容沐浴
古法紅茶豆漿	飲料沖泡
ABS金屬炫彩眼影液AMV11	美容沐浴
補陰湯	食品雜貨
標－修繕屋金屬劑	生活百貨
Whirlpool惠而浦 840公升對開門冰箱 WRS588FIHZ	大型家電/視聽影音
代收-【冷凍店取—如意】麻油猴菇500g±3%/入	食品雜貨
味丹多喝水600ml-箱24入	飲料沖泡
25元孔雀餅乾*12入	零食點心
C49綠棉麻透氣短褲(綠)-	服飾與配件精品
初飲初樂-藍莓風味燒酒	菸/酒
冰心草莓泡芙	零食點心
【Mr&Miss】附發票 100% 全新3吋斜口籃輪子 有煞車PU輪 底部輪 置物籃子 重疊籃 斜口藍 置物籃  荷重型	生活百貨
莎爾素色絨綿環保棉三角大靠墊-藍	傢俱寢飾
Asahi十六茶	飲料沖泡
禮物紙提袋中 暈染藍	生活百貨
奇福餅乾(320g)	零食點心
海霸王-香菇餃	冷凍食品
代收代付 - 蘇澳漁會-水煮鮪魚罐頭(130g/罐)-3入組	泡麵罐頭
多多檸檬綠	餐飲消費
日式筷 188-05(5雙入)22.5CM	鍋具.廚具.濾水
阿葵亞淨水賦活控油洗髮精60	美容沐浴
防滑鞋墊 台灣出貨 現貨 防滑防痛鞋墊 防磨腳跟貼 止滑減壓矽膠鞋墊 防磨腳貼 防腳趾滑出 腳後跟貼墊 防滑貼 人魚朵朵	生活百貨
築地一番鮮-特大-無CO外銷生食鯛魚清肉片20片免運組(150-200g/片)-網	其他消費
BA5490019NS	3C電子/配件
彩色日拋新湮花海棠灰20片裝	美容沐浴
【小米有品】EraClean 超聲波清洗機 45000Hz 高頻震動 360度立體清潔	小家電專區
參月20痛經2103月商品毛寶小鹿山丘有機精油防蚊系列加購寅	居家清潔
明太子裝蒜包	其他消費
韓國Paldo 男子麵/極地麻辣湯麵/韓國乾拌麵/起司拉麵 韓國泡麵 拉麵 現貨 蝦皮直送 (部分即期)	泡麵罐頭
冰淇淋抹茶	餐飲消費
重覆黏濕紙巾盒蓋/果凍粉	居家清潔
角落小夥伴繽紛水果糖	零食點心
水晶肥皂食器洗潔劑	居家清潔
極品黑豬香腸禮盒	生鮮冷藏
印30-乙狩阿多尼斯	生活百貨
樂迪藍20支	其他消費
『當天出貨！1/30後才能用！』 九族文化村 門票 含纜車 日月潭纜車 門票	其他消費
Caper 行車紀錄器配件 活動插扣 S2 S3  原廠固定座 配件 插扣《比帽王》	3C電子/配件
MY8Q2FE/A	生活百貨
SF-8003 真牛皮方向盤套 2L	交通
一杯袋_本東倒牛奶	其他消費
新光洛神酸梅湯５入＊１００ｇ（５）	飲料沖泡
美國LIDAK筋膜槍-雙頭配件	其他消費
【HANLIN】MAT210 耐用液體洗手自動給皂機	居家清潔
8-8P 緯.圓6 20M      %	其他消費
樂天蛋黃派*12入	零食點心
寵愛物語doter時尚胸背牽繩組-紫色格紋S	寵物
超抗皺眼唇精華乳加大組	美容沐浴
幫寶適一級幫拉拉褲XL 40片	嬰幼兒與孕婦
官官相護	其他消費
托斯卡尼蛤蠣義大利麵(清炒)	食品雜貨
米其林輪胎 Latitude Sport 3 255/50R19 103Y (偉) BEK-1878	交通
三麥金啤酒	菸/酒
【Arden 雅頓】第五大道女性淡香精 125ml(公司貨)	交通
小狐仙的超級任務7：瘦瘦狼仙大騙子	書籍
鏈鋸人 (2)	戶外休閒
咖哩薯條	餐飲消費
New World Deluxe Retail	3C電子/配件
CACO-瑪麗貓甜點上衣‧親子款-童【B3DI054】	服飾與配件精品
全蝦皮最便宜當天出貨小菊花淨白去黃系列法國肯葳	其他消費
蜜釀鳳梨青茶	飲料沖泡
SHISEIDO資生堂 驅黑淨白亮膚水凝露100g	美容沐浴
倍力犬罐-鴨肉 415g	寵物
樂天Girls粉紅霸	其他消費
佳寧麥茶50g2入*24包/箱	飲料沖泡
國際牌鹼性電池(1)LR20T/2B	生活百貨
3D直立速摺衣收納板【NF365】創意方便疊衣板 成人衣服襯衣折疊板 懶人疊衣服工具 6秒快速折衣6595BANJOMA	傢俱寢飾
開票手續費(艾拉美學工坊)	生活百貨
進擊的巨人（31）拆封不退	書籍
新康寶獨享杯(盒)香蟹海鮮	其他消費
【Pasabahce】卡薩布蘭強化冰咖啡杯365cc(二入組)	鍋具.廚具.濾水
台灣現貨【 新款 防溢夾 送 法式微笑貼一張】美甲 指甲油 防溢夾 甲油膠防溢夾光撩指甲必備 工具 套裝 凝膠 N-8	美容沐浴
BKAB-40F-CSL 0.7三色輕油舒寫筆 淺藍桿  P	生活百貨
五興海帶嫩芽(中)100g12包/箱	食品雜貨
@捍-土司模(小)3301S	戶外休閒
Hi Y.P store-手作圍兜-玉梔子花(雪紡荷葉邊)	嬰幼兒與孕婦
愛之味鮮採蕃茄汁 4入	飲料沖泡
新制多益TOEIC聽力解題策略+擬真試題：完全掌握新制多益聽力高分的秘密!學習一次到位，黃金證書一本	書籍
可口美酥(經典起司)120G*12�	零食點心
初芬IF&N， 服飾， 正價品	其他消費
不倒翁海鮮烏龍麵	泡麵罐頭
foodpanda F餐 2021-06-08 n4fu-lc1f	餐飲消費
1203水杓	居家清潔
冰淇淋綠-大	餐飲消費
29 套餐薯餅	餐飲消費
TOSHIBA 東芝 LED 燈泡 第二代 高效球泡燈 11W 廣角型 日本設計 自然光 1入	生活百貨
下午茶	餐飲消費
統一珍味牛肉麵碗	泡麵罐頭
高山烏龍綠	飲料沖泡
電子打火機附填充瓦	菸/酒
『免運』車用椅背掛鉤手機架 24H出貨 台灣現貨【33購物】【A372】汽車椅後背掛鉤 隱形車內掛鉤 車用掛勾 車用支架	其他消費
舒摩兒全天潔淨乾爽組(新護噴*2+新舒粉57g*2)	美容沐浴
蜜妮抗痘保濕洗顏慕絲	美容沐浴
JHS杰恆社abe098矽膠調碼防痛腳掌墊高跟鞋鞋墊防滑前掌墊女士加厚柔軟半碼墊-透明	其他消費
嘉義出貨_ {台灣收納王}一件免運_三層衣櫥簡易布衣櫃鋼管方便組裝家用可拆卸雙人衣架櫃牛津無紡布衣櫥	其他消費
推廣課程	戶外休閒
MOS 摩斯漢堡	餐飲消費
匯竑-阿薩姆奶茶(鋁箔)400ml(24)	飲料沖泡
海尼根星銀啤酒330cc-罐	菸/酒
mbti，你的職業性格是什麼？：發現自己的優勢，規劃最適生涯	書籍
春風小捲筒衛生紙 270組/96捲/箱	居家清潔
老中醫仙楂餅	零食點心
3M 243J膠帶18m/m*18M	生活百貨
創客誌　　　　　　　　　　　	其他消費
10CM保麗龍球	生活百貨
101文具(10)袋	生活百貨
古玥檸檬-大	餐飲消費
獎金手續費(06/04)	其他消費
牛頭牌蛤蜊湯塊(單)66G	食品雜貨
素蘆筍捲	生鮮冷藏
T101048-05	其他消費
Veggie Care綜合維他命	食品雜貨
家用家飾品	生活百貨
3/整箱-亞培葡勝納SR菁選(無糖原味)30瓶	食品雜貨
幸福II大貓罐-起司+鮪170g ME-01	寵物
台灣發貨 適用 Gtech Multi Plus MK2 Bissell 副廠 濾心 濾芯 小綠 過濾器 濾網 耗材	其他消費
750 Lenstown 日拋彩色隱形眼鏡10片-麥絲丹妮紫	美容沐浴
台灣現貨 【VENALISA 鋼化封層膠 】除膠 鑽石封層 免除膠 免洗 封層 封層膠 美甲 光撩指甲油膠 C-35	生活百貨
數學尺	生活百貨
麻栳 7粒裝110.08.17	其他消費
※停車費	其他消費
摩卡 2021-07-29 b5ds-ukfo	食品雜貨
UM-151-粉彩黃P2-(0.7)鋼珠筆	生活百貨
元圓玩具-50元流行玩具	戶外休閒
櫻花蝦御飯	其他消費
西歐沙(犬用)98%無穀全肉4號罐-雞肉+地瓜170g	寵物
捷進新英檢字彙：每週讀書計畫－中級進階篇	書籍
【法國原裝進口Najel】阿勒坡萬用神奇黑皂液1公升(ECO CERT認證)	居家清潔
9789862624234波的科學：細數那些在我們四周的波	書籍
九鬼太白純正胡麻油 170ML	食品雜貨
女神降臨滿版碎花襯衫/兩色【122415】	服飾與配件精品
觀音拿鐵(大)	飲料沖泡
紅豆玄米奶茶	飲料沖泡
【小牛津】啾啾尾巴布書 動物系列 有聲音的布書 共三款 ●山姆先生這一家-團購超值組●	書籍
134781/機車多功能置物袋	交通
【PUSH!】PUSH!餐具用品防摔304不鏽鋼400ml兒童杯(帶蓋款E127)	鍋具.廚具.濾水
龍泉黑麥汁320ML*24入	飲料沖泡
SuperM❤韓國耳環 單支售/復古麻花三圈耳骨夾【KE1160】耳夾耳環/無耳洞耳環	3C電子/配件
弘-如意海帶芽(海鮮)	食品雜貨
代收-限量企鵝家族一番賞_第014籤	嬰幼兒與孕婦
四層紗蓋毯 ★ Muslin tree/四季保暖天然純棉嬰兒蓋毯 幼稚園棉被  包巾 午休被	傢俱寢飾
手機背貼卡夾蝴蝶支架	3C電子/配件
【分批取】空運安格斯無骨牛小排 (約200g/盒)	生鮮冷藏
10220-131-044-71- 女T恤	服飾與配件精品
618化妝品	其他消費
統一科學麵 雞汁	泡麵罐頭
仕高利達紅色經典調和純麥威士忌1000ml	菸/酒
套餐（沙拉）	餐飲消費
單點　水餃	冷凍食品
藍旅TSA海關鎖	戶外休閒
酸辣湯(麵)	餐飲消費
260871@盆栽/盆	戶外休閒
美容單(1本)	其他消費
寧波素鵝	食品雜貨
Farmina法米納 天然處方糧-貓用極低敏配方(VCU-9)2kg	寵物
四季毛球組20mm混	生活百貨
毛寶超強效萬用去污劑2L	居家清潔
生力黑啤酒(瓶裝)	菸/酒
康柔濕巾補充包(紅/藍)80P-銘	嬰幼兒與孕婦
0.5輕復古色按動中性筆-槿紫 SKB G-2506A	生活百貨
黑糖薑汁鮮奶茶	餐飲消費
松露菌菇奶香飯	其他消費
小巧蜂蜜蛋糕	生鮮冷藏
民事訴訟法概要	書籍
平雲素粽(10入)	生鮮冷藏
＊2021春季線上旅展聯合美食券	傢俱寢飾
加素合菜	餐飲消費
14000719550激情快感微調式神奇寶貝雙長短蛋	小家電專區
新北馬告啤酒330ml	菸/酒
開窗糖果盒／愛情草／單入	鍋具.廚具.濾水
美士 全護營養 室內成貓(雞肉+糙米) 14LB	寵物
長壽尊爵1號	其他消費
VEE逗貓棒(火花)	寵物
基礎電子學	書籍
鬼滅之刃壓克力立牌-炭治郎	生活百貨
預購 0105020100873 （限量特別版）【Fitty】運動／護膝壓力褲－旗艦拼彩款-水藍 2XS 2480	戶外休閒
[時時樂限定]BRAPPERS 男款 無熱感穿著 涼感褲系列(多款選)-A款-灰3L	服飾與配件精品
瞬熱式暖房機	小家電專區
代收-現貨-小復古格紋中長圓裙-O-Rainbow【A199777】	服飾與配件精品
衝浪族休閒壼0.6L	生活百貨
愛德蘭絲	書籍
AD高效抗乾修復乳200g	美容沐浴
SPORTS耳機 當天出貨  防汗水/重低音 無線耳機 運動耳機 運動藍芽耳機  藍牙耳機 耳機 現貨供應	3C電子/配件
C-106滾動式切圓刀	鍋具.廚具.濾水
Queen Life Salon皇后沙龍兌換券	其他消費
Apple AirPods 1代 2代 耳機 單耳 左耳 右耳 替換 現貨 當天出貨 諾比克	3C電子/配件
50075031 刷毛印花圓領衫-17-女 (暖黃 - S)	服飾與配件精品
漢堡QQ糖(Yupi)*15	零食點心
晨光微透肌感抽繩緹花上衣(白-S)	服飾與配件精品
停車繳費(777MZZ)	交通
特調咖啡(早)	餐飲消費
E050013301人人都能上手的資訊圖表設計術 (電子書)	書籍
兩包298	餐飲消費
Disney 迪士尼｜圖繪造型證件票卡套【CA514】米奇 三眼怪 維尼 奇蒂 瑪莉貓 小飛象 熊抱 毛怪｜文具旗艦店	生活百貨
現貨免運【車用充氣腳墊】後座用舒適腳踏墊 間隙墊 車載充氣墊 充氣增高腳墊 旅行外出 長時間開車【AAA6259】	嬰幼兒與孕婦
台灣現貨免運晴雨傘 口袋傘 迷你 遮陽傘 洋傘 防曬 不透光 五折超輕折疊 遮陽傘 防紫外線 抗UV 50+兩用傘	其他消費
[星巴克]一起趣清境杯	戶外休閒
塑料迷你抽屜整理,小物翻蓋收納盒,電池藥品分類家用雜物棉籤收納盒 (兩種尺寸)	生活百貨
ZGA清透TPU保護殼　　i13-6.1吋	戶外休閒
員-干貝細香蔥生麵	泡麵罐頭
芝士炒蛋烤雞肉麵包	其他消費
熱．拿鐵(M)	餐飲消費
優格野莓冰沙	餐飲消費
100元九成宮醴泉銘—部首練習	書籍
XXL The Witch．交叉美臀中腰三角內褲	服飾與配件精品
[蝦皮團購]耐重落地曬衣架(單桿,雙桿) 寬110公分 吊衣架 衣櫥衣帽架 強承重力 居家 收納【VR居家生活賣場】	生活百貨
翻倍效率工作術：不會就太可惜的excel必學函數(第3版)(大數據時代必備的資料統計整理與運算力)	書籍
輝夜傳 5	生活百貨
葛洛芮	零食點心
浴巾(含運費)	傢俱寢飾
(冰)學習墊板FRDU35-4	生活百貨
龍鳳耐熱袋2斤300G	鍋具.廚具.濾水
金屬懶人支架(白色)	戶外休閒
熱狗(50支)特級(而)	餐飲消費
小小廚師活動費	餐飲消費
練習簿幼兒智能	書籍
日式の球	戶外休閒
代收-▶低腰◀四角褲-花園迷宮-黑【超細纖維】	服飾與配件精品
冰箱收納防塵罩/附袋	傢俱寢飾
招牌蛋堡	餐飲消費
玄米奶茶	飲料沖泡
pidan 蛋塔寵物床 寵物床 貓床 貓窩 睡窩 窩墊 寵物睡窩 貓屋 狗屋 狗狗床墊 貓貓床墊	嬰幼兒與孕婦
仿膳天山雪蓮露	食品雜貨
丹丹棉品官方授權｜100% MIT布衛生棉｜18公分	傢俱寢飾
德昌 紅標豆乾(麻辣) 30g*10(20入/箱)	零食點心
Adventurer Set	3C電子/配件
Reebok 休閒鞋 Instapump Fury 運動 男女鞋 經典款 舒適 情侶穿搭 充氣科技	戶外休閒
皮蛋肉鬆蛋餅	泡麵罐頭
代收-愛迪達男用動感香氛長效制汗滾珠	美容沐浴
酒精抗菌濕巾隨身包	嬰幼兒與孕婦
葛莉思犬食關節保健	寵物
老爺酒店集團	其他消費
莊家鹹蛋黃方塊酥2	生鮮冷藏
潔用75%酒精500ml+噴頭	交通
ATM 虛擬代碼繳費（需持代碼至實體ATM或網路銀行繳費）	3C電子/配件
文言文15篇大講堂（暨經典選文＋混合題型訓練）	書籍
TT07	3C電子/配件
黑松茶尋味台灣青茶無糖590ml	飲料沖泡
預購0105030100984【Fitty】超安心網紗拼接運動內衣（深杯訂製款－絕美純黑）1880	服飾與配件精品
拿鐵(U)	食品雜貨
ADIDAS Monster 2pp Sox 男女 中筒襪 藍綠	服飾與配件精品
薑黃洗髮乳 500ml	美容沐浴
VIP組合+2款豆	零食點心
1028 Oil Cut!超吸油蜜粉餅 (三色任選)-膚色	美容沐浴
澳洲和牛菲力	泡麵罐頭
綠油精天	食品雜貨
尼龍零錢包-藍CA2663-6C2	戶外休閒
爽啤330ml6入	菸/酒
服飾百貨	戶外休閒
深宅旺妻 中	餐飲消費
鋼鐵人按摩槍	戶外休閒
紙盤叉3入/包	戶外休閒
酥炸土魠魚柳條	餐飲消費
極淨適抗菌酒精擦濕巾100抽	居家清潔
中國巨匠美術週刊 董其昌	書籍
14吋DC節能遙控電風扇	小家電專區
小苑特製雙份蛋塔佐鮮果沙拉	泡麵罐頭
D-商田蔬菜	其他消費
妙喵肉泥7號-腎臟15g*4入	寵物
代收代付 - 【Hopma】簡約層架工作桌/書桌-拼板柚木	居家傢俱
C-人生浣腸(10盒入/箱)	其他消費
拿    鐵(I)	食品雜貨
【箱購】菲力寶寶超純水嬰兒濕紙巾80抽x3包入x8袋	嬰幼兒與孕婦
午休5分鐘的日語會話：利用「零碎時間」，學習更有效率！（免費附贈虛擬點讀筆APP＋1CD）(免稅)	書籍
珍饌瑤柱XO醬280g	食品雜貨
六角立布 *Y	生活百貨
惠氏敏兒樂嬰兒配方800G	嬰幼兒與孕婦
桂淳金萱茶	飲料沖泡
台灣牛蒡脆片	其他消費
李記川味麻辣鍋全素	泡麵罐頭
【Smart bearing 智慧魔力】感應式測溫噴霧洗手機 測溫酒精消毒洗手三用一體機(洗手/消毒/測溫)	3C電子/配件
江鳥10入掛耳盒 – 巴西 COE常勝軍 皇后莊園	生活百貨
牛丼 2021-09-05 mmj2-vb9v	餐飲消費
NeuTral-防潑水保暖郊山靴(杏)-大尺碼杏 37	服飾與配件精品
香烤羊肉飯	餐飲消費
敦景指甲貼藍	生活百貨
★丹麥SW(有段)	生活百貨
花生迪羅爾	零食點心
Z488201                                 運送收入	餐飲消費
炸物春捲*2薯條小雞塊*4	餐飲消費
黑糖發糕粉500g(金錢豹)	食品雜貨
乳酪吉士條	餐飲消費
名牌套	戶外休閒
七小喜多包	戶外休閒
味丹竹炭水 1500ml	飲料沖泡
多尼斯-趣味逗貓球-粉	寵物
高敏感孩子 細心愛，孩子更自在	書籍
嘉莉朵	美容沐浴
【KOKUYO】Mark+獨角仙同色系螢光筆(藍)	生活百貨
鄉村火腿起士	餐飲消費
桂格青春三元素	食品雜貨
光泉茉莉蜜茶290	飲料沖泡
Being There	生活百貨
森系圈圈束2入-蒲公英-黑黃59-407-3C3	其他消費
斑馬JF07 黑	生活百貨
蕾美日拋隱形眼鏡30片裝3.00	美容沐浴
